date,product,sales,price
2025-01-01,Phone,10.0,500.0
2025-01-01,Laptop,13.0,600.0
2025-01-02,Phone,15.0,550.0
2025-01-03,Phone,12.0,600.0
2025-01-04,Phone,18.0,520.0
2025-01-05,Laptop,5.0,650.0
2025-01-05,Tablet,25.0,350.0
2025-01-06,Phone,9.0,510.0
2025-01-06,Laptop,7.0,620.0
2025-01-07,Tablet,15.0,320.0
2025-01-08,Tablet,22.0,340.0
2025-01-09,Phone,14.0,540.0
2025-01-09,Laptop,13.0,610.0
2025-01-10,Tablet,18.0,360.0
2025-01-10,Phone,11.0,500.0
2025-01-11,Laptop,6.0,630.0
2025-01-11,Tablet,20.0,370.0
2025-01-12,Phone,13.0,550.0
2025-01-12,Laptop,9.0,640.0
2025-01-13,Tablet,17.0,380.0
2025-01-13,Phone,10.0,510.0
2025-01-14,Laptop,8.0,650.0
2025-01-15,Phone,12.0,520.0
2025-01-16,Tablet,19.0,400.0
2025-01-16,Phone,15.0,530.0
2025-01-17,Laptop,6.0,660.0
2025-01-17,Tablet,21.0,410.0
2025-01-18,Phone,11.0,540.0
2025-01-18,Laptop,13.0,670.0
2025-01-19,Tablet,16.0,420.0
2025-01-19,Phone,14.0,550.0
2025-01-20,Laptop,5.0,680.0
2025-01-20,Tablet,18.0,430.0
2025-01-21,Laptop,9.0,690.0
2025-01-22,Tablet,20.0,440.0
2025-01-22,Phone,12.0,570.0
2025-01-23,Laptop,7.0,700.0
2025-01-23,Tablet,22.0,450.0
2025-01-24,Phone,10.0,580.0
2025-01-24,Laptop,6.0,710.0
2025-01-25,Tablet,17.0,460.0
2025-01-25,Phone,13.0,590.0
2025-01-26,Laptop,8.0,720.0
2025-01-26,Tablet,19.0,470.0
2025-01-27,Phone,15.0,600.0
2025-01-27,Laptop,13.0,730.0
2025-01-28,Tablet,21.0,480.0
2025-01-28,Phone,11.0,610.0
2025-01-29,Laptop,9.0,740.0
2025-01-29,Tablet,20.0,490.0
2025-01-30,Phone,14.0,620.0
2025-01-30,Laptop,7.0,750.0
2025-01-31,Tablet,18.0,500.0
2025-01-31,Phone,12.0,630.0
2025-02-01,Laptop,6.0,760.0
2025-02-01,Tablet,19.0,510.0
2025-02-02,Phone,13.0,640.0
2025-02-02,Laptop,8.0,770.0
2025-02-03,Phone,10.0,650.0
2025-02-04,Laptop,7.0,780.0
2025-02-04,Tablet,20.0,530.0
2025-02-05,Phone,14.0,660.0
2025-02-05,Laptop,6.0,790.0
2025-02-06,Tablet,22.0,540.0
2025-02-06,Phone,11.0,670.0
2025-02-07,Laptop,13.0,800.0
2025-02-07,Tablet,18.0,550.0
2025-02-08,Phone,12.0,680.0
2025-02-08,Laptop,9.0,810.0
2025-02-09,Tablet,17.0,560.0
2025-02-09,Phone,13.0,690.0
2025-02-10,Laptop,8.0,820.0
2025-02-10,Tablet,19.0,570.0
2025-02-11,Phone,15.0,700.0
2025-02-11,Laptop,7.0,830.0
2025-02-12,Tablet,21.0,580.0
2025-02-13,Laptop,6.0,840.0
2025-02-13,Tablet,20.0,590.0
2025-02-14,Phone,14.0,720.0
2025-02-14,Laptop,8.0,850.0
2025-02-15,Tablet,18.0,600.0
2025-02-15,Phone,12.0,730.0
2025-02-16,Laptop,7.0,860.0
2025-02-16,Tablet,19.0,610.0
2025-02-17,Phone,11.0,740.0
2025-02-17,Laptop,6.0,870.0
2025-02-18,Tablet,20.0,620.0
2025-02-18,Phone,13.0,750.0
